In-House Name,Instances,Length,Matches TG-263,TG-263 suggestion,Reason,Structure Type,Rules
BODY,798,4,False,Body,casing,non-target,[4]
BrachialPlex_L,556,14,True,,,non-target,[]
Musc_Constrict_S,558,16,True,,,non-target,[]
Bones^RadCalc,557,13,False,,,non-target,[]
Brain,797,5,True,,,non-target,[]
Pituitary,783,9,True,,,non-target,[]
BrachialPlex_R,556,14,True,,,non-target,[]
Lobe_Temporal_L,522,15,True,,,non-target,[]
Eye_R,793,5,True,,,non-target,[]
Musc_Constrict_I,554,16,True,,,non-target,[]
Esophagus_S,536,11,True,,,non-target,[]
SpinalCord~,551,11,False,SpinalCord,SB OK,non-target,[]
Bone_Mandible,559,13,True,,,non-target,[]
Parotid_L,785,9,True,,,non-target,[]
Larynx,750,6,True,,,non-target,[]
Lens_L,794,6,True,,,non-target,[]
Lobe_Temporal_R,522,15,True,,,non-target,[]
Lips,803,4,True,,,non-target,[]
Brainstem_PRV05,512,15,False,,,non-target,[]
OpticNrv_R,567,10,True,,,non-target,[]
OpticNrv_L,567,10,True,,,non-target,[]
Lung~_L,552,7,False,Lung_L,SB OK,non-target,[]
Lung~_R,553,7,False,Lung_R,SB OK,non-target,[]
Esophagus~^2cm,532,14,False,,,non-target,[]
Lens_R,795,6,True,,,non-target,[]
Cochlea_R,798,9,True,,,non-target,[]
Parotid_R,781,9,True,,,non-target,[]
Eye_L,793,5,True,,,non-target,[]
Musc_Constrict_M,554,16,True,,,non-target,[]
Glnd_Thyroid,535,12,True,,,non-target,[]
Cochlea_L,798,9,True,,,non-target,[]
SpinalCord~_PRV5,550,16,False,,,non-target,[]
OpticChiasm,558,11,True,,,non-target,[]
Brainstem,753,9,True,,,non-target,[]
Cavity_Oral,560,11,True,,,non-target,[]
CTV_6000,413,8,False,,PTV/CTV/GTV,target,['TBD']
CTV_7000,251,8,False,,PTV/CTV/GTV,target,['TBD']
GTV,389,3,True,,,target,[]
Carina,576,6,True,,,non-target,[]
CTV_5600,329,8,False,,PTV/CTV/GTV,target,['TBD']
PTV_7000-05,184,11,False,,PTV/CTV/GTV,target,['TBD']
PTV!_6000-05,265,12,False,,PTV/CTV/GTV,target,['TBD']
PTV!_5600-05,252,12,False,,PTV/CTV/GTV,target,['TBD']
Pharynx,575,7,True,,,non-target,[]
Glnd_Submand_R,465,14,True,,,non-target,[]
Glnd_Submand_L,468,14,True,,,non-target,[]
Level_Retropha_R,121,16,False,,,non-target,[]
Level_Retropha_L,121,16,False,,,non-target,[]
z_Submand_NOS_R,57,15,False,,z,non-target,[]
z_Parotid_NOS_L,420,15,False,,z,non-target,[]
z_Parotid_NOS_R,434,15,False,,z,non-target,[]
zPTV7000+PTV6000,109,16,False,,PTV/CTV/GTV,target,['TBD']
z_PTV_All,396,9,False,,z,target,['TBD']
z_Larynx_NOS,415,12,False,,z,non-target,[]
Cavity_Oral-PTV,508,15,False,,PTV/CTV/GTV,target,['TBD']
z_Avoid_5600,183,12,False,,avoid,non-target,[]
z_Avoid_6000,148,12,False,,avoid,non-target,[]
z_Ring_5600,348,11,False,,z,non-target,[]
z_Ring_6000,425,11,False,,z,non-target,[]
z_Ring_7000,274,11,False,,z,non-target,[]
z_Avoid_Middle,366,14,False,,avoid,non-target,[]
z_Avoid_Post,407,12,False,,avoid,non-target,[]
z_Shoulders,488,11,False,,z,non-target,[]
z_Avoid_Post3000,314,16,False,,avoid,non-target,[]
z_Submand_NOS_L,59,15,False,,z,non-target,[]
zDensityOverride,464,16,False,,,non-target,[]
z_Remove1,132,9,False,,z,non-target,[]
z_Remove2,113,9,False,,z,non-target,[]
z_Remove3,90,9,False,,z,non-target,[]
z_PTV_Opt_6000,4,14,False,,z,target,['TBD']
z_PTV_Opt_5600,3,14,False,,z,target,['TBD']
z_PTV_6000_OS,2,13,False,,z,target,['TBD']
z_PTV_5600_OS,1,13,False,,z,target,['TBD']
z_Remove100,1,11,False,,z,non-target,[]
z_Remove53Gy,1,12,False,,z,non-target,[]
z_FlattenDose,2,13,False,,z,non-target,[]
z_Cover100,1,10,False,,z,non-target,[]
z_remove100-2,1,13,False,,z,non-target,[]
PTV_All,9,7,False,,PTV/CTV/GTV,target,['TBD']
BONES_RADCAL,13,12,False,,,non-target,[]
OPTIC_APP_PRV,8,13,False,,,non-target,[]
PTV,5,3,True,,,target,[]
CTV,13,3,True,,,target,[]
FRONTAL_AVOID,7,13,False,,avoid,non-target,[]
TEMP_LOBE_L,2,11,False,,,non-target,[]
TEMP_LOBE_R,2,11,False,,,non-target,[]
COCHLEA_L,6,9,False,Cochlea_L,casing,non-target,[4]
COCHLEA_R,6,9,False,Cochlea_R,casing,non-target,[4]
CHIASM_PRV,4,10,False,OpticChiasm_PRV,,non-target,[]
BRAINSTEM_PRV,3,13,False,Brainstem_PRV,casing,non-target,[4]
BRAINSTEM,3,9,False,Brainstem,casing,non-target,[4]
PITUITARY,4,9,False,Pituitary,casing,non-target,[4]
OPTIC_NRV_L,4,11,False,,,non-target,[]
OPTIC_NRV_R,4,11,False,,,non-target,[]
EYE_R,3,5,False,Eye_R,casing,non-target,[4]
BODY+SUPPORT,1,12,False,,,non-target,[]
OPTIC APPARATUS,4,15,False,,,non-target,[5]
OPTIC_NRV_L_PRV,4,15,False,,,non-target,[]
OPTIC_NRV_R_PRV,4,15,False,,,non-target,[]
RING Avoid,3,10,False,,avoid,non-target,[5]
PAROTID_L,3,9,False,Parotid_L,casing,non-target,[4]
PAROTID_R,3,9,False,Parotid_R,casing,non-target,[4]
BRAIN,8,5,False,Brain,casing,non-target,[4]
CHIASM,3,6,False,OpticChiasm,,non-target,[]
LENS_L,3,6,False,Lens_L,casing,non-target,[4]
LENS_R,3,6,False,Lens_R,casing,non-target,[4]
EYE_L,3,5,False,Eye_L,casing,non-target,[4]
LENS_R_PRV,20,10,False,,,non-target,[]
CouchSurface,132,12,False,,,non-target,[]
CouchInterior,132,13,False,,,non-target,[]
SKIN,7,4,False,Skin,casing,non-target,[4]
Normal 1,84,8,False,,,non-target,[5]
Normal 2,84,8,False,,,non-target,[5]
Normal 3,84,8,False,,,non-target,[5]
LENS_L_PRV,22,10,False,,,non-target,[]
BRAINLAB_SUPPORT,7,16,False,,,non-target,[]
ORAL CAVITY,1,11,False,,,non-target,[5]
SUBMANDIBULAR_R,1,15,False,,,non-target,[]
PHAR_CON_LOW,1,12,False,,,non-target,[]
PHAR_CON_MID,1,12,False,,,non-target,[]
PHAR_CON_SUP,1,12,False,,,non-target,[]
MANDIBLE,4,8,False,Bone_Mandible,,non-target,[]
SPINAL CORD,1,11,False,SpinalCord,symbols,non-target,[5]
SPINAL_CORD_PRV,3,15,False,,,non-target,[]
Density Override,48,16,False,,,non-target,[5]
Mandible,245,8,False,Bone_Mandible,,non-target,[]
TemporalLobe_R,223,14,False,,,non-target,[]
Brainstem_PRV5,217,14,False,,,non-target,[]
OpticNerve_R,227,12,False,,,non-target,[]
OpticNerve_L,227,12,False,,,non-target,[]
PAROTID_L_NOS,134,13,False,,nos,non-target,[]
SubmndSalv_R,186,12,False,,,non-target,[]
